사업자등록번호,업체명,물품분류명,납품요구번호,일자,월,전체계약금액,영상감시장치_계약금액,영상감시여부,MAS여부,계약종류_상세
2298134357,주식회사 디라직,랙캐비닛용패널,2423325919,20260106,1월,-600000.0,-600000.0,Y,Y,MAS (수동입력)
2298134357,주식회사 디라직,무선마이크장치,2423325919,20260106,1월,-600000.0,0.0,N,Y,MAS (수동입력)
2298134357,주식회사 디라직,마이크로폰,2423325919,20260106,1월,-600000.0,-600000.0,Y,Y,MAS (수동입력)
2298134357,주식회사 디라직,마이크스탠드,2423325919,20260106,1월,-600000.0,0.0,N,Y,MAS (수동입력)
2298134357,주식회사 디라직,통신케이블어셈블리,2423325919,20260106,1월,-600000.0,-600000.0,Y,Y,MAS (수동입력)
2298134357,주식회사 디라직,플러그용잭,2423325919,20260106,1월,-600000.0,0.0,N,Y,MAS (수동입력)
2298134357,주식회사 디라직,브래킷,2423325919,20260106,1월,-600000.0,-600000.0,Y,Y,MAS (수동입력)
2298134357,주식회사 디라직,CD녹음및플레이어,2423325919,20260106,1월,-600000.0,0.0,N,Y,MAS (수동입력)
2298134357,주식회사 디라직,결선보드유닛,2423325919,20260106,1월,-600000.0,0.0,N,Y,MAS (수동입력)
2298134357,주식회사 디라직,리모트앰프,2423325919,20260106,1월,-600000.0,-600000.0,Y,Y,MAS (수동입력)
2298134357,주식회사 디라직,스피커선택유닛,2423325919,20260106,1월,-600000.0,-600000.0,Y,Y,MAS (수동입력)
2298134357,주식회사 디라직,오디오믹서,2423325919,20260106,1월,-600000.0,0.0,N,Y,MAS (수동입력)
2298134357,주식회사 디라직,전원공급장치,2423325919,20260106,1월,-600000.0,-600000.0,Y,Y,MAS (수동입력)
2298134357,주식회사 디라직,오디오앰프,2423325919,20260106,1월,-600000.0,-600000.0,Y,Y,MAS (수동입력)
1138618789,이노뎁(주),주차요금계산기,2424358420,20260122,1월,17596700.0,0.0,N,Y,MAS (자동추론)
1138618789,이노뎁(주),주차관제주변기기,2424358420,20260122,1월,17596700.0,0.0,N,Y,MAS (자동추론)
1138618789,이노뎁(주),주차경보등,2424358420,20260122,1월,17596700.0,0.0,N,Y,MAS (자동추론)
1138618789,이노뎁(주),차량감지기,2424358420,20260122,1월,17596700.0,0.0,N,Y,MAS (자동추론)
1138618789,이노뎁(주),금속상자,2424358420,20260122,1월,17596700.0,17596700.0,Y,Y,MAS (자동추론)
1138618789,이노뎁(주),네트워크스위치,2424358420,20260122,1월,17596700.0,17596700.0,Y,Y,MAS (자동추론)
1138618789,이노뎁(주),액정모니터,2424358420,20260122,1월,17596700.0,17596700.0,Y,Y,MAS (자동추론)
1138618789,이노뎁(주),IP전화기,2424358420,20260122,1월,17596700.0,17596700.0,Y,Y,MAS (자동추론)
1138618789,이노뎁(주),네트워크시스템장비용랙,2424358420,20260122,1월,17596700.0,17596700.0,Y,Y,MAS (자동추론)
1138618789,이노뎁(주),주차주제어장치,2424358420,20260122,1월,17596700.0,0.0,N,N,우수조달/일반경쟁
1138618789,이노뎁(주),네트워크스위치,2424358429,20260122,1월,19202000.0,19202000.0,Y,Y,MAS (자동추론)
1138618789,이노뎁(주),네트워크시스템장비용랙,2424358429,20260122,1월,-1017000.0,-1017000.0,Y,Y,MAS (자동추론)
1138618789,이노뎁(주),출입통제시스템,2424358429,20260122,1월,15780000.0,0.0,N,Y,MAS (자동추론)
1138618789,이노뎁(주),출입통제시스템,2424358429,20260122,1월,19202000.0,0.0,N,Y,MAS (자동추론)
1138618789,이노뎁(주),출입통제시스템,2424358429,20260122,1월,1188000.0,0.0,N,Y,MAS (자동추론)
1138618789,이노뎁(주),출입통제시스템,2424358429,20260122,1월,5355000.0,0.0,N,Y,MAS (자동추론)
1138618789,이노뎁(주),출입통제시스템,2424358429,20260122,1월,-19020000.0,0.0,N,Y,MAS (자동추론)
1138618789,이노뎁(주),출입통제시스템,2424358429,20260122,1월,-700000.0,0.0,N,Y,MAS (자동추론)
1138618789,이노뎁(주),액정모니터,2424358429,20260122,1월,19202000.0,19202000.0,Y,Y,MAS (자동추론)
1138618789,이노뎁(주),출입통제시스템,2424358429,20260122,1월,15855000.0,0.0,N,Y,MAS (자동추론)
1138618789,이노뎁(주),출입통제시스템,2424358429,20260122,1월,1392000.0,0.0,N,Y,MAS (자동추론)
1138618789,이노뎁(주),출입통제시스템,2424358429,20260122,1월,369000.0,0.0,N,Y,MAS (자동추론)
2298134357,주식회사 디라직,CD녹음및플레이어,3224415488,20260128,1월,-890000.0,0.0,N,Y,MAS (수동입력)
2298134357,주식회사 디라직,전원공급장치,3224415488,20260128,1월,-862000.0,-862000.0,Y,Y,MAS (수동입력)
2298134357,주식회사 디라직,오디오앰프,3224415488,20260128,1월,-2870000.0,-2870000.0,Y,Y,MAS (수동입력)
2298134357,주식회사 디라직,네트워크시스템장비용랙,3224415488,20260128,1월,-460000.0,-460000.0,Y,Y,MAS (수동입력)
2298134357,주식회사 디라직,랙캐비닛용패널,3224415488,20260128,1월,-140000.0,-140000.0,Y,Y,MAS (수동입력)
2298134357,주식회사 디라직,마이크로폰,3224415488,20260128,1월,-85000.0,-85000.0,Y,Y,MAS (수동입력)
2298134357,주식회사 디라직,마이크스탠드,3224415488,20260128,1월,-75000.0,0.0,N,Y,MAS (수동입력)
2298134357,주식회사 디라직,통신케이블어셈블리,3224415488,20260128,1월,-30000.0,-30000.0,Y,Y,MAS (수동입력)
1298623254,주식회사 제노시스,하드디스크드라이브,R25TB00219577,20260115,1월,-10800000.0,-10800000.0,Y,Y,MAS (자동추론)
1298623254,주식회사 제노시스,멀티스크린컴퓨터,R25TB00219577,20260115,1월,-10800000.0,-10800000.0,Y,Y,MAS (자동추론)
1298623254,주식회사 제노시스,액정모니터,R25TB00219577,20260115,1월,-10800000.0,-10800000.0,Y,Y,MAS (자동추론)
1298623254,주식회사 제노시스,네트워크스위치,R25TB00219577,20260115,1월,-10800000.0,-10800000.0,Y,Y,MAS (자동추론)
1298623254,주식회사 제노시스,네트워크시스템장비용랙,R25TB00219577,20260115,1월,-10800000.0,-10800000.0,Y,Y,MAS (자동추론)
1298623254,주식회사 제노시스,보안용카메라,R25TB00219577,20260115,1월,-10800000.0,-10800000.0,Y,Y,MAS (자동추론)
1298623254,주식회사 제노시스,영상감시장치,R25TB00219577,20260115,1월,-10800000.0,-10800000.0,Y,N,우수조달/일반경쟁
1298623254,주식회사 제노시스,디지털비디오레코더,R25TB00219577,20260115,1월,-10800000.0,-10800000.0,Y,Y,MAS (자동추론)
1298623254,주식회사 제노시스,영상감시장치,R25TB00235664,20260126,1월,-650000.0,-650000.0,Y,Y,MAS (수동입력)
1298623254,주식회사 제노시스,영상감시장치,R25TB00235664,20260126,1월,-2400000.0,-2400000.0,Y,Y,MAS (수동입력)
1388143337,주식회사 디지탈라인,광점퍼코드,R25TB00368707,20260121,1월,17440.0,17440.0,Y,Y,MAS (수동입력)
1388143337,주식회사 디지탈라인,서지흡수기,R25TB00368707,20260121,1월,274300.0,274300.0,Y,Y,MAS (수동입력)
1388143337,주식회사 디지탈라인,서지흡수기,R25TB00368707,20260121,1월,243620.0,243620.0,Y,Y,MAS (수동입력)
1388143337,주식회사 디지탈라인,광분배함,R25TB00368707,20260121,1월,145040.0,145040.0,Y,Y,MAS (수동입력)
1138618789,이노뎁(주),통신소프트웨어,R25TB00368751,20260121,1월,1760000.0,1760000.0,Y,Y,MAS (자동추론)
1388143337,주식회사 디지탈라인,영상감시장치,R25TB00370644,20260121,1월,4300000.0,4300000.0,Y,Y,MAS (수동입력)
1298623254,주식회사 제노시스,디지털비디오레코더,R25TB00415780,20260126,1월,-1949000.0,-1949000.0,Y,Y,MAS (자동추론)
1298623254,주식회사 제노시스,액정모니터,R25TB00415780,20260126,1월,-350000.0,-350000.0,Y,Y,MAS (자동추론)
1298623254,주식회사 제노시스,광점퍼코드,R25TB00678812,20260105,1월,-20000.0,-20000.0,Y,Y,MAS (자동추론)
1298623254,주식회사 제노시스,전원공급장치,R25TB00678812,20260105,1월,1096000.0,1096000.0,Y,Y,MAS (자동추론)
1298623254,주식회사 제노시스,서지흡수기,R25TB00678812,20260105,1월,-10258700.0,-10258700.0,Y,Y,MAS (자동추론)
1298623254,주식회사 제노시스,서지흡수기,R25TB00678812,20260105,1월,981000.0,981000.0,Y,Y,MAS (자동추론)
1298623254,주식회사 제노시스,누전차단기,R25TB00678812,20260105,1월,1590000.0,1590000.0,Y,Y,MAS (자동추론)
1298623254,주식회사 제노시스,컨버터,R25TB00678812,20260105,1월,-10258700.0,-10258700.0,Y,Y,MAS (자동추론)
1298623254,주식회사 제노시스,하드디스크드라이브,R25TB00678812,20260105,1월,-4840000.0,-4840000.0,Y,Y,MAS (자동추론)
1298623254,주식회사 제노시스,멀티스크린컴퓨터,R25TB00678812,20260105,1월,-10258700.0,-10258700.0,Y,Y,MAS (자동추론)
1298623254,주식회사 제노시스,액정모니터,R25TB00678812,20260105,1월,906000.0,906000.0,Y,Y,MAS (자동추론)
1298623254,주식회사 제노시스,송신기,R25TB00678812,20260105,1월,355000.0,355000.0,Y,Y,MAS (자동추론)
1298623254,주식회사 제노시스,광송수신모듈,R25TB00678812,20260105,1월,-132000.0,-132000.0,Y,Y,MAS (자동추론)
1298623254,주식회사 제노시스,네트워크스위치,R25TB00678812,20260105,1월,-10258700.0,-10258700.0,Y,Y,MAS (자동추론)
1298623254,주식회사 제노시스,네트워크시스템장비용랙,R25TB00678812,20260105,1월,829000.0,829000.0,Y,Y,MAS (자동추론)
1298623254,주식회사 제노시스,네트워크시스템장비용랙,R25TB00678812,20260105,1월,949000.0,949000.0,Y,Y,MAS (자동추론)
1298623254,주식회사 제노시스,광분배함,R25TB00678812,20260105,1월,-48600.0,-48600.0,Y,Y,MAS (자동추론)
1298623254,주식회사 제노시스,광분배함,R25TB00678812,20260105,1월,-149100.0,-149100.0,Y,Y,MAS (자동추론)
1298623254,주식회사 제노시스,광분배함,R25TB00678812,20260105,1월,-768000.0,-768000.0,Y,Y,MAS (자동추론)
1298623254,주식회사 제노시스,카메라브래킷,R25TB00678812,20260105,1월,-10258700.0,-10258700.0,Y,Y,MAS (자동추론)
